Model,Company,scale,metric,value,per_query_value,per_query_unit
GPT-5 (high),OpenAI,1B,energy_MWh,25595.79485487688,25.595794854876875,Wh
GPT-5 (high),OpenAI,50B,energy_MWh,1279789.7427438437,25.595794854876875,Wh
GPT-5 (high),OpenAI,100B,energy_MWh,2559579.4854876874,25.595794854876875,Wh
GPT-5 (high),OpenAI,1B,water_kL,118197.72409769928,118.19772409769928,mL
GPT-5 (high),OpenAI,50B,water_kL,5909886.204884964,118.19772409769928,mL
GPT-5 (high),OpenAI,100B,water_kL,11819772.409769928,118.19772409769928,mL
GPT-5 (high),OpenAI,1B,carbon_tCO2e,8702.570250658138,8.702570250658137,gCO2e
GPT-5 (high),OpenAI,50B,carbon_tCO2e,435128.5125329069,8.702570250658137,gCO2e
GPT-5 (high),OpenAI,100B,carbon_tCO2e,870257.0250658138,8.702570250658137,gCO2e
GPT-5 (high),OpenAI,1B,households_MWh,23375.15511860902,25.595794854876875,Wh
GPT-5 (high),OpenAI,50B,households_MWh,1168757.755930451,25.595794854876875,Wh
GPT-5 (high),OpenAI,100B,households_MWh,2337515.511860902,25.595794854876875,Wh
GPT-5 (high),OpenAI,1B,pools_kL,47.27908963907971,118.19772409769928,mL
GPT-5 (high),OpenAI,50B,pools_kL,2363.9544819539856,118.19772409769928,mL
GPT-5 (high),OpenAI,100B,pools_kL,4727.908963907971,118.19772409769928,mL
GPT-5 (high),OpenAI,1B,flights_tCO2e,145.04283751096898,8.702570250658137,gCO2e
GPT-5 (high),OpenAI,50B,flights_tCO2e,7252.141875548448,8.702570250658137,gCO2e
GPT-5 (high),OpenAI,100B,flights_tCO2e,14504.283751096897,8.702570250658137,gCO2e
GPT-5 (medium),OpenAI,1B,energy_MWh,14002.06714869239,14.00206714869239,Wh
GPT-5 (medium),OpenAI,50B,energy_MWh,700103.3574346196,14.00206714869239,Wh
GPT-5 (medium),OpenAI,100B,energy_MWh,1400206.714869239,14.00206714869239,Wh
GPT-5 (medium),OpenAI,1B,water_kL,64659.5457973545,64.6595457973545,mL
GPT-5 (medium),OpenAI,50B,water_kL,3232977.2898677248,64.6595457973545,mL
GPT-5 (medium),OpenAI,100B,water_kL,6465954.5797354495,64.6595457973545,mL
GPT-5 (medium),OpenAI,1B,carbon_tCO2e,4760.702830555413,4.760702830555413,gCO2e
GPT-5 (medium),OpenAI,50B,carbon_tCO2e,238035.14152777067,4.760702830555413,gCO2e
GPT-5 (medium),OpenAI,100B,carbon_tCO2e,476070.2830555413,4.760702830555413,gCO2e
GPT-5 (medium),OpenAI,1B,households_MWh,12787.275934878897,14.00206714869239,Wh
GPT-5 (medium),OpenAI,50B,households_MWh,639363.7967439449,14.00206714869239,Wh
GPT-5 (medium),OpenAI,100B,households_MWh,1278727.5934878897,14.00206714869239,Wh
GPT-5 (medium),OpenAI,1B,pools_kL,25.8638183189418,64.6595457973545,mL
GPT-5 (medium),OpenAI,50B,pools_kL,1293.19091594709,64.6595457973545,mL
GPT-5 (medium),OpenAI,100B,pools_kL,2586.38183189418,64.6595457973545,mL
GPT-5 (medium),OpenAI,1B,flights_tCO2e,79.34504717592355,4.760702830555413,gCO2e
GPT-5 (medium),OpenAI,50B,flights_tCO2e,3967.2523587961778,4.760702830555413,gCO2e
GPT-5 (medium),OpenAI,100B,flights_tCO2e,7934.5047175923555,4.760702830555413,gCO2e
o3,OpenAI,1B,energy_MWh,12222.138265521708,12.222138265521709,Wh
o3,OpenAI,50B,energy_MWh,611106.9132760854,12.222138265521709,Wh
o3,OpenAI,100B,energy_MWh,1222213.8265521708,12.222138265521709,Wh
o3,OpenAI,1B,water_kL,56440.08849042702,56.44008849042702,mL
o3,OpenAI,50B,water_kL,2822004.4245213512,56.44008849042702,mL
o3,OpenAI,100B,water_kL,5644008.849042703,56.44008849042702,mL
o3,OpenAI,1B,carbon_tCO2e,4155.527010277381,4.155527010277381,gCO2e
o3,OpenAI,50B,carbon_tCO2e,207776.35051386905,4.155527010277381,gCO2e
o3,OpenAI,100B,carbon_tCO2e,415552.7010277381,4.155527010277381,gCO2e
o3,OpenAI,1B,households_MWh,11161.770105499276,12.222138265521709,Wh
o3,OpenAI,50B,households_MWh,558088.5052749638,12.222138265521709,Wh
o3,OpenAI,100B,households_MWh,1116177.0105499276,12.222138265521709,Wh
o3,OpenAI,1B,pools_kL,22.57603539617081,56.44008849042702,mL
o3,OpenAI,50B,pools_kL,1128.8017698085405,56.44008849042702,mL
o3,OpenAI,100B,pools_kL,2257.603539617081,56.44008849042702,mL
o3,OpenAI,1B,flights_tCO2e,69.25878350462303,4.155527010277381,gCO2e
o3,OpenAI,50B,flights_tCO2e,3462.9391752311503,4.155527010277381,gCO2e
o3,OpenAI,100B,flights_tCO2e,6925.878350462301,4.155527010277381,gCO2e
Grok 4,xAI,1B,energy_MWh,17642.704258617272,17.64270425861727,Wh
Grok 4,xAI,50B,energy_MWh,882135.2129308636,17.64270425861727,Wh
Grok 4,xAI,100B,energy_MWh,1764270.4258617272,17.64270425861727,Wh
Grok 4,xAI,1B,water_kL,59667.6258026436,59.6676258026436,mL
Grok 4,xAI,50B,water_kL,2983381.29013218,59.6676258026436,mL
Grok 4,xAI,100B,water_kL,5966762.58026436,59.6676258026436,mL
Grok 4,xAI,1B,carbon_tCO2e,6792.441139567649,6.792441139567649,gCO2e
Grok 4,xAI,50B,carbon_tCO2e,339622.0569783824,6.792441139567649,gCO2e
Grok 4,xAI,100B,carbon_tCO2e,679244.1139567648,6.792441139567649,gCO2e
Grok 4,xAI,1B,households_MWh,16112.058683668742,17.64270425861727,Wh
Grok 4,xAI,50B,households_MWh,805602.9341834371,17.64270425861727,Wh
Grok 4,xAI,100B,households_MWh,1611205.868366874,17.64270425861727,Wh
Grok 4,xAI,1B,pools_kL,23.86705032105744,59.6676258026436,mL
Grok 4,xAI,50B,pools_kL,1193.352516052872,59.6676258026436,mL
Grok 4,xAI,100B,pools_kL,2386.705032105744,59.6676258026436,mL
Grok 4,xAI,1B,flights_tCO2e,113.20735232612748,6.792441139567649,gCO2e
Grok 4,xAI,50B,flights_tCO2e,5660.367616306374,6.792441139567649,gCO2e
Grok 4,xAI,100B,flights_tCO2e,11320.735232612747,6.792441139567649,gCO2e
GPT-5 mini (high),OpenAI,1B,energy_MWh,13813.07258054485,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,50B,energy_MWh,690653.6290272424,13.81307258054485,Wh
GPT-5 mini (high),OpenAI,100B,energy_MWh,1381307.2580544848,13.81307258054485,Wh
