region_name,latitude,longitude
Australia (Sydney),-33.8688,151.2093
Australia East,-33.8688,151.2093
Brazil South,-23.5505,-46.6333
Canada (Central) (Ontario),43.6532,-79.3832
Canada Central,43.6532,-79.3832
Central India,18.5204,73.8567
East Asia,22.2783,114.1747
East US (PJM),37.3719,-79.8164
East US 2 (PJM),37.3719,-79.8164
Europe (Frankfurt),50.1109,8.6821
Europe (Ireland),53.3498,-6.2603
Europe (London),51.5074,-0.1278
France Central,48.8566,2.3522
Germany West Central,50.1109,8.6821
Italy North,45.4642,9.19
Japan East,35.6762,139.6503
Korea Central,37.5665,126.978
Middle East (UAE),24.4539,54.3773
North Central US (MISO),41.8781,-87.6298
North Europe,53.3498,-6.2603
Qatar Central,25.2854,51.531
South Africa North,-25.7479,28.2293
South America (São Paulo),-23.5505,-46.6333
South Central US (ERCOT),29.4241,-98.4936
South East Asia,1.3521,103.8198
South India,13.0827,80.2707
Spain Central,40.4168,-3.7038
Sweden Central,59.3293,18.0686
Switzerland North,47.3769,8.5417
UAE North,25.2854,55.3219
UK South,51.5074,-0.1278
US East (Northern Virginia),38.9469,-77.4903
US East (Ohio),40.0946,-82.7541
US West (Oregon),45.5152,-122.6784
West Europe,52.3676,4.9041
West US (CISO),37.7749,-122.4194
West US 3 (APS),33.4484,-112.074
